id;name;description;price
1;Yuan Renminbi Centers;Factors;96563
2;cross-platform access;Public-key;24102
3;Bahamian Dollar Investment Account;Games Regional Digitized;66252
4;hardware Costa Rica Mayotte;Industrial;84228
5;Views e-enable Communications;National Awesome sky blue;4522
6;software scale interactive;Louisiana Specialist Home Loan Account;27599
7;scalable;Small;98688
8;index orange;Jewelery;19884
9;monitor 1080p Checking Account;world-class Frozen IB;62329
10;archive Fantastic Plastic Chicken;payment;59129
